"Environment and Climate Change Canada"
"Monthly Values for May - 1918"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BEAR CREEK","48.500","-124.000","BC","",,NA,"",,"",,"0.0","0",NA,"79.3","0",NA,"","9","","",NA,"","","1010720"
"BEAVER LAKE","48.500","-123.350","BC","",,NA,"",,"",,"0.0","0",NA,"22.7","0",NA,"","3","","",NA,"","","1010774"
"COWICHAN","48.417","-123.700","BC","12.0","0",NA,"23.3","0","1.7","0","0.0","0",NA,"15.8","0",NA,"","3","","",NA,"186.1","0.0","1012008"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","10.5","0",NA,"21.1","0","-0.6","0","0.0","0",NA,"12.7","0",NA,"","5","","",NA,"231.1","0.0","1012010"
"ESQUIMALT","48.433","-123.417","BC","",,NA,"",,"",,"0.0","0",NA,"20.4","0",NA,"","4","","",NA,"","","1012700"
"GOLDSTREAM LAKE","48.450","-123.550","BC","",,NA,"",,"",,"0.0","0",NA,"38.2","0",NA,"","9","","",NA,"","","1013240"
"JAMES ISLAND","48.600","-123.350","BC","11.6","0",NA,"24.4","0","5.0","0","0.0","0",NA,"19.5","0",NA,"","3","","",NA,"198.1","0.0","1013720"
"METCHOSIN","48.374","-123.561","BC","10.9","0",NA,"20.0","0","2.8","0","0.0","0",NA,"24.9","0","62.0","","6","","",NA,"219.1","0.0","1015105"
"MILNES LANDING","48.350","-123.733","BC","10.5","0",NA,"21.1","0","1.1","0","0.0","0",NA,"28.0","0",NA,"","8","","",NA,"231.7","0.0","1015160"
"RIVER JORDAN","48.417","-124.050","BC","",,NA,"",,"",,"0.0","0",NA,"64.8","0",NA,"","12","","",NA,"","","1016780"
