"Environment and Climate Change Canada"
"Monthly Values for December - 1920"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BEAR CREEK","48.500","-124.000","BC","",,NA,"",,"",,"68.6","0",NA,"544.8","0",NA,"","25","","",NA,"","","1010720"
"BEAVER LAKE","48.500","-123.350","BC","",,NA,"",,"",,"0.0","0",NA,"108.1","0",NA,"","17","","",NA,"","","1010774"
"CHEMAINUS","48.935","-123.742","BC","",,NA,"",,"",,"0.0","0",NA,"214.0","0",NA,"","24","","",NA,"","","1011500"
"COWICHAN","48.417","-123.700","BC","4.2","0",NA,"12.8","0","-2.8","0","0.0","0",NA,"202.4","0",NA,"","24","","",NA,"428.0","0.0","1012008"
"ESQUIMALT","48.433","-123.417","BC","",,NA,"",,"",,"0.0","0",NA,"196.2","0",NA,"","16","","",NA,"","","1012700"
"GOLDSTREAM LAKE","48.450","-123.550","BC","",,NA,"",,"",,"31.6","0",NA,"281.9","0",NA,"","25","","",NA,"","","1013240"
"JAMES ISLAND","48.600","-123.350","BC","5.5","0",NA,"11.1","0","-1.1","0","0.0","0",NA,"129.8","0",NA,"","20","","",NA,"386.4","0.0","1013720"
"MALAHAT","48.575","-123.530","BC","",,NA,"",,"",,"0.0","0",NA,"209.6","0",NA,"","23","","",NA,"","","1014820"
"METCHOSIN","48.374","-123.561","BC","5.6","0",NA,"10.0","0","-1.7","0","0.0","0","0.0","195.1","0","133.0","","18","","",NA,"385.6","0.0","1015105"
"MILNES LANDING","48.350","-123.733","BC","5.1","0",NA,"10.6","0","-2.2","0","0.0","0",NA,"242.0","0",NA,"","23","","",NA,"399.3","0.0","1015160"
