"Environment and Climate Change Canada"
"Monthly Values for June - 1939"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BEAR CREEK","48.500","-124.000","BC","",,NA,"",,"",,"0.0","0",NA,"64.9","0",NA,"","14","","",NA,"","","1010720"
"BEAVER LAKE","48.500","-123.350","BC","",,NA,"",,"",,"0.0","0",NA,"27.0","0",NA,"","6","","",NA,"","","1010774"
"CHEMAINUS","48.935","-123.742","BC","",,NA,"",,"",,"0.0","0",NA,"17.9","0",NA,"","4","","",NA,"","","1011500"
"COLE BAY","48.650","-123.400","BC","",,NA,"",,"",,"0.0","0",NA,"30.0","0",NA,"","7","","",NA,"","","1011775"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","14.9","0",NA,"23.9","0","7.2","0","0.0","0",NA,"43.3","0",NA,"","10","","",NA,"94.7","2.1","1012010"
"COWICHAN LAKE HATCHERY","48.833","-124.117","BC","",,NA,"",,"",,"0.0","0",NA,"41.5","0",NA,"","11","","",NA,"","","1012046"
"CROFTON","48.817","-123.667","BC","",,NA,"",,"",,"0.0","0",NA,"25.8","0",NA,"","8","","",NA,"","","1012190"
"DUNCAN","48.783","-123.717","BC","15.2","0",NA,"30.6","0","3.3","0","0.0","0",NA,"32.1","0",NA,"","8","","",NA,"86.7","2.6","1012550"
"ESQUIMALT","48.433","-123.417","BC","",,NA,"",,"",,"0.0","0",NA,"30.5","0",NA,"","6","","",NA,"","","1012700"
"GOLDSTREAM LAKE","48.450","-123.550","BC","",,NA,"",,"",,"0.0","0",NA,"43.5","0",NA,"","6","","",NA,"","","1013240"
"JAMES ISLAND","48.600","-123.350","BC","13.5","0",NA,"25.6","0","6.1","0","0.0","0",NA,"30.2","0",NA,"","10","","",NA,"135.0","0.0","1013720"
"LAKE COWICHAN","48.817","-124.050","BC","13.4","0",NA,"28.3","0","1.7","0","0.0","0",NA,"34.2","0",NA,"","7","","",NA,"139.8","0.4","1014493"
"MAYNE ISLAND","48.850","-123.333","BC","",,NA,"",,"",,"0.0","0",NA,"18.6","0",NA,"","7","","",NA,"","","1014930"
"MILLSTREAM","48.483","-123.550","BC","",,NA,"",,"",,"0.0","0",NA,"15.0","0",NA,"","6","","",NA,"","","1015150"
"MILNES LANDING","48.350","-123.733","BC","13.2","0",NA,"22.2","0","2.2","0","0.0","0",NA,"35.8","0",NA,"","7","","",NA,"143.7","0.0","1015160"
"PENDER ISLAND","48.767","-123.300","BC","",,NA,"",,"",,"0.0","0",NA,"26.0","0",NA,"","9","","",NA,"","","1016120"
"RIVER JORDAN","48.417","-124.050","BC","",,NA,"",,"",,"0.0","0",NA,"53.9","0",NA,"","11","","",NA,"","","1016780"
"SAANICHTON CDA","48.698","-123.594","BC","14.0","0","-0.9","25.0","0","5.6","0","0.0","0",NA,"40.7","0","117.0","","9","","",NA,"120.6","0.0","1016940"
"SALTSPRING ISLAND","48.850","-123.500","BC","13.6","0",NA,"26.1","0","3.9","0","0.0","0",NA,"20.8","0",NA,"","8","","",NA,"132.0","0.0","1016990"
"SAANICH DOM ASTRO OBS","48.517","-123.417","BC","13.3","0",NA,"25.6","0","6.1","0","0.0","0",NA,"35.0","0",NA,"","8","","",NA,"142.0","1.8","10169DK"
"SHAWNIGAN LAKE","48.647","-123.627","BC","13.1","0","-2.0","25.6","0","1.1","0","0.0","0",NA,"31.9","0","80.0","","6","","",NA,"146.4","0.0","1017230"
"SOOKE LAKE","48.517","-123.700","BC","",,NA,"",,"",,"0.0","0",NA,"41.1","0",NA,"","8","","",NA,"","","1017560"
"VICTORIA GONZALES HTS","48.417","-123.317","BC","13.0","0",NA,"21.1","0","6.7","0","0.0","0",NA,"31.3","0",NA,"","7","","",NA,"148.6","0.0","1018610"
"ALERT BAY","50.583","-126.933","BC","",,NA,"",,"",,"0.0","0",NA,"82.0","0",NA,"","10","","",NA,"","","1020270"
"CAMERON LAKE","49.283","-124.583","BC","",,NA,"",,"",,"0.0","0",NA,"50.6","0",NA,"","5","","",NA,"","","1021230"
"CAMPBELL RIVER","50.017","-125.300","BC","",,NA,"",,"",,"0.0","0",NA,"43.7","0",NA,"","10","","",NA,"","","1021260"
"CAPE LAZO","49.700","-124.867","BC","14.9","0",NA,"24.4","0","5.0","0","0.0","0",NA,"51.2","0",NA,"","11","","",NA,"92.6","0.6","1021320"
"COURTENAY PUNTLEDGE BCHP","49.683","-125.033","BC","",,NA,"",,"",,"0.0","0",NA,"58.0","0",NA,"","10","","",NA,"","","1021990"
