"Environment and Climate Change Canada"
"Monthly Values for August - 1929"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"PORT HARDY","50.667","-127.483","BC","",,NA,"",,"",,"0.0","0",NA,"139.6","0",NA,"","16","","",NA,"","","1026266"
"QUALICUM BEACH","49.333","-124.433","BC","14.3","0",NA,"24.4","0","3.9","0","0.0","0",NA,"9.9","0",NA,"","3","","",NA,"115.9","0.7","1026563"
"SANDWICK","49.750","-125.050","BC","",,NA,"",,"",,"0.0","0",NA,"12.7","0",NA,"","2","","",NA,"","","1027060"
"SAVARY ISLAND","49.933","-124.850","BC","",,NA,"",,"",,"0.0","0",NA,"11.2","0",NA,"","3","","",NA,"","","1027110"
"VANANDA","49.750","-124.583","BC","17.6","6",NA,"26.7","6","8.9","6","0.0","0",NA,"16.0","0",NA,"","2","","",NA,"22.7","12.5","1028340"
"ALBERNI BEAVER CREEK","49.367","-124.933","BC","17.7","0",NA,"32.8","0","4.4","0","0.0","0",NA,"14.0","0",NA,"","4","","",NA,"32.2","22.7","1030180"
"BAMFIELD","48.833","-125.100","BC","",,NA,"",,"",,"0.0","0",NA,"47.3","0",NA,"","5","","",NA,"","","1030600"
"BULL HARBOUR","50.917","-127.950","BC","13.8","0",NA,"20.0","0","7.2","0","0.0","0",NA,"97.3","0",NA,"","14","","",NA,"129.1","0.0","1031110"
"CLAYOQUOT","49.150","-125.900","BC","15.8","0",NA,"22.2","0","10.0","0","0.0","0",NA,"76.7","0",NA,"","8","","",NA,"67.0","0.0","1031650"
"ELK LAKE JEUNE LANDING","50.367","-127.300","BC","",,NA,"",,"",,"0.0","0",NA,"140.6","0",NA,"","13","","",NA,"","","1032660"
"ESTEVAN POINT","49.384","-126.551","BC","13.9","0","-0.8","18.9","0","8.9","0","0.0","0",NA,"152.9","0","157.0","","14","","",NA,"127.2","0.0","1032730"
"HENDERSON LAKE","49.133","-125.133","BC","",,NA,"",,"",,"0.0","0",NA,"195.9","0",NA,"","9","","",NA,"","","1033455"
"HOLBERG","50.650","-128.000","BC","15.8","0",NA,"28.3","0","8.3","0","0.0","0",NA,"243.9","0",NA,"","11","","",NA,"70.6","3.0","1033479"
"KENNEDY LAKE","49.133","-125.633","BC","",,NA,"",,"",,"0.0","0",NA,"126.4","0",NA,"","8","","",NA,"","","1034070"
"NITINAT LAKE","48.750","-124.750","BC","",,NA,"",,"",,"0.0","0",NA,"51.8","0",NA,"","7","","",NA,"","","1035610"
"PACHENA POINT","48.723","-125.097","BC","14.0","0","-0.2","21.1","0","7.8","0","0.0","0",NA,"68.7","0","81.0","","6","","",NA,"122.9","0.0","1035940"
"PORT ALBERNI","49.233","-124.800","BC","18.0","0",NA,"32.8","0","6.1","0","0.0","0",NA,"10.6","0",NA,"","4","","",NA,"30.8","30.5","1036205"
"PORT ALICE","50.386","-127.453","BC","",,"","",,"",,"0.0","0",NA,"144.3","0","153.0","","11","","",NA,"","","1036240"
"QUATSINO","50.533","-127.650","BC","14.4","0","-1.4","24.4","0","7.2","0","0.0","0",NA,"104.4","0","127.0","","18","","",NA,"112.9","0.0","1036570"
"UCLUELET","48.967","-125.533","BC","14.9","0",NA,"25.0","0","5.6","0","0.0","0",NA,"76.5","0",NA,"","9","","",NA,"94.8","0.1","1038330"
"BRITANNIA BEACH FURRY CR","49.584","-123.224","BC","17.6","0",NA,"31.7","0","8.9","0","0.0","0",NA,"61.6","0",NA,"","6","","",NA,"40.3","26.6","1041050"
"BUCCANEER BAY","49.483","-123.967","BC","",,NA,"",,"",,"0.0","0",NA,"21.8","0",NA,"","4","","",NA,"","","1041100"
"CAPILANO INTAKE","49.400","-123.150","BC","",,NA,"",,"",,"0.0","0",NA,"75.9","0",NA,"","6","","",NA,"","","1041380"
"GARIBALDI","49.983","-123.133","BC","",,NA,"",,"",,"0.0","0",NA,"42.4","0",NA,"","4","","",NA,"","","1043060"
"HOLLYBURN","49.317","-123.167","BC","",,NA,"",,"",,"0.0","0",NA,"43.5","0",NA,"","5","","",NA,"","","1043504"
"POWELL RIVER","49.876","-124.554","BC","18.6","0","0.1","27.2","0","12.8","0","0.0","0",NA,"20.8","0","49.0","","4","","",NA,"14.8","34.9","1046390"
"ROBERTS CREEK","49.400","-123.683","BC","",,NA,"",,"",,"0.0","0",NA,"14.0","0",NA,"","3","","",NA,"","","1046791"
"SECHELT","49.467","-123.767","BC","",,NA,"",,"",,"0.0","0",NA,"14.2","0",NA,"","4","","",NA,"","","1047170"
"TUNNEL CAMP","49.617","-123.133","BC","",,NA,"",,"",,"0.0","0",NA,"71.1","0",NA,"","8","","",NA,"","","1048310"
"CAPE ST JAMES","51.933","-131.017","BC","",,NA,"",,"",,"0.0","0",NA,"212.0","0",NA,"","21","","",NA,"","","1051350"
"MASSET AIRPORT","54.025","-132.121","BC","14.2","0",NA,"24.4","0","6.7","0","0.0","0",NA,"214.7","0",NA,"","18","","",NA,"118.6","0.0","1054920"
"QUEEN CHARLOTTE CITY","53.250","-132.083","BC","",,NA,"",,"",,"0.0","0",NA,"83.1","0",NA,"","12","","",NA,"","","1056590"
"ANYOX","55.417","-129.817","BC","14.9","0",NA,"30.0","0","7.8","0","0.0","0",NA,"169.6","0",NA,"","17","","",NA,"108.0","12.8","1060446"
"BELLA COOLA","52.371","-126.685","BC","15.7","0","-1.1","33.3","0","6.7","0","0.0","0",NA,"91.5","0","142.0","","16","","",NA,"82.4","10.8","1060840"
"MILL BAY","55.000","-129.750","BC","14.4","0",NA,"30.0","0","7.8","0","0.0","0",NA,"197.5","0",NA,"","21","","",NA,"114.8","2.9","1065130"
"NAAS HARBOUR","54.933","-129.933","BC","",,NA,"",,"",,"0.0","0",NA,"159.8","0",NA,"","19","","",NA,"","","1065275"
"OCEAN FALLS","52.350","-127.683","BC","16.5","0",NA,"31.7","0","10.6","0","0.0","0",NA,"454.7","0",NA,"","19","","",NA,"65.3","20.1","1065670"
"PREMIER","56.050","-130.017","BC","12.8","0",NA,"25.6","0","7.2","0","0.0","0",NA,"142.5","0",NA,"","22","","",NA,"160.9","0.7","1066420"
"PRINCE RUPERT","54.283","-130.383","BC","14.2","0",NA,"28.9","0","7.8","0","0.0","0",NA,"177.7","0",NA,"","16","","",NA,"119.8","1.5","1066480"
"RIVERS INLET","51.667","-127.350","BC","",,NA,"",,"",,"0.0","0",NA,"229.0","0",NA,"","18","","",NA,"","","1066787"
"ROSSWOOD","54.783","-128.767","BC","",,NA,"",,"",,"0.0","0",NA,"66.2","0",NA,"","13","","",NA,"","","1066885"
"STEWART","55.950","-129.983","BC","15.5","0",NA,"28.9","0","6.1","0","0.0","0",NA,"63.5","0",NA,"","13","","",NA,"97.6","21.4","1067740"
"SWANSON BAY","53.033","-128.500","BC","",,NA,"",,"",,"0.0","0",NA,"445.9","0",NA,"","21","","",NA,"","","1067880"
"TERRACE","54.517","-128.583","BC","16.1","0",NA,"30.6","0","5.0","0","0.0","0",NA,"97.9","0",NA,"","16","","",NA,"71.6","12.8","1068100"
"THURSTON BAY","50.417","-125.417","BC","16.4","0",NA,"27.2","0","6.7","0","0.0","0",NA,"54.4","0",NA,"","8","","",NA,"58.3","9.8","1068170"
"AIYANSH","55.233","-129.017","BC","",,NA,"",,"",,"0.0","0",NA,"85.1","0",NA,"","16","","",NA,"","","1070150"
"BABINE LAKE FISHERIES","55.067","-126.533","BC","12.2","0",NA,"28.3","0","-1.1","0","0.0","0",NA,"31.4","0",NA,"","12","","",NA,"180.1","0.6","1070571"
"MACLURE LAKE","54.733","-127.067","BC","",,NA,"",,"",,"0.0","0",NA,"19.1","0",NA,"","2","","",NA,"","","1074800"
"NEW HAZELTON","55.233","-127.600","BC","13.7","0",NA,"28.9","0","0.0","0","0.0","0",NA,"33.8","0",NA,"","11","","",NA,"134.4","0.0","1075520"
"TELKWA","54.650","-126.833","BC","12.0","0",NA,"25.6","0","-1.7","0","0.0","0",NA,"27.8","0",NA,"","8","","",NA,"186.3","0.0","1078070"
"ALEXIS CREEK","52.133","-123.333","BC","",,NA,"",,"",,"0.0","0",NA,"20.6","0",NA,"","3","","",NA,"","","1080285"
"BIG CREEK","51.667","-123.073","BC","14.1","0",NA,"28.9","0","-1.1","0","0.0","0",NA,"15.2","0",NA,"","3","","",NA,"121.0","0.1","1080870"
"BRALORNE","50.783","-122.817","BC","",,NA,"",,"",,"0.0","0",NA,"14.5","0",NA,"","3","","",NA,"","","1080930"
"PEMBERTON MEADOWS","50.450","-122.933","BC","16.7","0",NA,"32.8","0","1.7","0","0.0","0",NA,"21.8","0",NA,"","5","","",NA,"50.8","10.7","1086090"
"TATLAYOKO LAKE","51.675","-124.405","BC","",,"","",,"",,"0.0","0",NA,"17.1","0","51.0","","2","","",NA,"","","1088010"
"WISTARIA","53.825","-126.214","BC","12.3","0","-1.1","27.2","0","-2.2","0","0.0","0",NA,"28.4","0","75.0","","8","","",NA,"176.9","0.0","1088970"
"BARKERVILLE","53.069","-121.515","BC","11.3","0","-0.8","25.0","0","0.6","0","0.0","0",NA,"60.2","0","75.0","","15","","",NA,"206.4","0.0","1090660"
"DOME CREEK","53.750","-121.167","BC","14.1","0",NA,"29.4","0","0.0","0","0.0","0",NA,"19.7","0",NA,"","7","","",NA,"120.3","0.0","1092519"
"FORT ST JAMES","54.450","-124.250","BC","13.1","0","-1.7","26.7","0","-0.6","0","0.0","0",NA,"54.6","0","121.0","","10","","",NA,"153.0","0.0","1092970"
"MCBRIDE 4SE","53.267","-120.150","BC","12.1","0",NA,"29.4","0","-3.3","0","0.0","0",NA,"55.7","0",NA,"","10","","",NA,"182.8","0.1","1094950"
"PRINCE GEORGE","53.833","-122.800","BC","14.3","0",NA,"29.4","0","1.1","0","0.0","0",NA,"50.8","0",NA,"","10","","",NA,"114.3","0.9","1096436"
"QUESNEL","52.983","-122.483","BC","15.4","0",NA,"31.1","0","2.2","0","0.0","0",NA,"29.9","0",NA,"","9","","",NA,"88.0","6.7","1096600"
"SODA CREEK","52.333","-122.283","BC","",,NA,"",,"",,"0.0","0",NA,"9.1","0",NA,"","2","","",NA,"","","1097550"
"VANDERHOOF","54.050","-124.000","BC","13.4","0",NA,"27.2","0","2.2","0","0.0","0",NA,"32.8","0",NA,"","6","","",NA,"143.9","0.0","1098490"
"AGASSIZ CDA","49.243","-121.760","BC","17.7","0","-0.9","32.2","0","7.2","0","0.0","0",NA,"24.1","0","41.0","","5","","",NA,"25.8","17.8","1100120"
"ALOUETTE LAKE","49.283","-122.483","BC","",,NA,"",,"",,"0.0","0",NA,"58.2","0",NA,"","6","","",NA,"","","1100360"
"BUNTZEN LAKE","49.383","-122.867","BC","",,NA,"",,"",,"0.0","0",NA,"63.3","0",NA,"","6","","",NA,"","","1101140"
"BURQUITLAM VANCOUVER GOLF COURSE","49.252","-122.877","BC","",,"","",,"",,"0.0","0",NA,"35.5","0","49.0","","4","","",NA,"","","1101200"
"CHILLIWACK","49.173","-121.924","BC","17.6","0","-1.1","30.6","0","6.7","0","0.0","0",NA,"17.3","0","31.0","","4","","",NA,"27.1","15.4","1101530"
"COQUITLAM","49.267","-122.850","BC","",,NA,"",,"",,"0.0","11",NA,"31.4","11",NA,"","4","","",NA,"","","1101888"
"COQUITLAM LAKE","49.367","-122.800","BC","",,NA,"",,"",,"0.0","0",NA,"74.5","0",NA,"","6","","",NA,"","","1101890"
"IOCO REFINERY","49.300","-122.883","BC","",,NA,"",,"",,"0.0","0",NA,"44.4","0",NA,"","6","","",NA,"","","1103660"
"LADNER","49.083","-123.067","BC","16.5","0",NA,"30.0","0","5.6","0","0.0","0",NA,"28.1","0",NA,"","3","","",NA,"53.1","6.5","1104468"
"NEW WESTMINSTER","49.217","-122.933","BC","18.4","0",NA,"29.4","0","10.6","0","0.0","0",NA,"37.1","0",NA,"","5","","",NA,"18.1","29.3","1105550"
"SEYMOUR CREEK","49.417","-122.950","BC","",,NA,"",,"",,"0.0","0",NA,"73.5","0",NA,"","5","","",NA,"","","1107195"
"SEYMOUR FALLS","49.440","-122.971","BC","",,NA,"",,"",,"0.0","0",NA,"114.6","0","114.0","","8","","",NA,"","","1107200"
"STAVE FALLS","49.233","-122.367","BC","21.0","0","2.7","35.6","0","10.6","0","0.0","0",NA,"35.5","0","43.0","","4","","",NA,"6.3","98.7","1107680"
"STEVESTON","49.131","-123.189","BC","16.3","0",NA,"24.4","0","7.8","0","0.0","0",NA,"20.6","0","48.0","","5","","",NA,"53.3","1.0","1107710"
"VANCOUVER CITY HALL","49.283","-123.117","BC","",,NA,"",,"",,"0.0","0",NA,"37.3","0",NA,"","4","","",NA,"","","1108430"
"VANCOUVER HARBOUR CS","49.296","-123.122","BC","",,NA,"",,"",,"0.0","0",NA,"31.4","0",NA,"","6","","",NA,"","","1108446"
"VANCOUVER PMO","49.283","-123.117","BC","18.1","0",NA,"29.4","0","9.4","0","0.0","0",NA,"38.1","0",NA,"","7","","",NA,"23.1","26.7","1108465"
"WHITE ROCK CAMPBELL SCIENTIFIC","49.018","-122.783","BC","18.1","0",NA,"27.8","0","7.8","0","0.0","0",NA,"24.7","0",NA,"","6","","",NA,"17.7","22.0","1108910"
"VANCOUVER JERICHO BEACH","49.267","-123.167","BC","",,NA,"28.9","0","",,"0.0","0",NA,"27.1","0",NA,"","5","","",NA,"","","110H447"
"HOPE LITTLE MOUNTAIN","49.383","-121.417","BC","18.8","0",NA,"32.2","0","8.3","0","0.0","0",NA,"12.9","0",NA,"","4","","",NA,"23.1","47.7","1113570"
"LILLOOET","50.700","-121.933","BC","21.8","0",NA,"36.7","0","7.8","0","0.0","0",NA,"2.1","0",NA,"","1","","",NA,"7.4","124.7","1114620"
"LYTTON 2","50.257","-121.608","BC","22.3","0",NA,"35.6","0","11.1","0","0.0","0",NA,"0.0","0",NA,"","0","","",NA,"0.5","133.9","1114745"
"MOHA","50.883","-122.267","BC","",,NA,"",,"",,"0.0","0",NA,"1.3","0",NA,"","1","","",NA,"","","1115196"
"PEMBERTON HATCHERY","50.333","-122.550","BC","18.4","0",NA,"32.8","0","5.0","0","0.0","0",NA,"29.9","0",NA,"","5","","",NA,"28.7","42.5","1116084"
"ADRA","49.733","-119.583","BC","",,NA,"",,"",,"0.0","0",NA,"24.6","0",NA,"","2","","",NA,"","","1120090"
"CHUTE LAKE","49.683","-119.533","BC","",,NA,"",,"",,"0.0","0",NA,"37.1","0",NA,"","4","","",NA,"","","1121620"
"HEDLEY","49.357","-120.077","BC","21.1","0","1.2","35.0","0","7.2","0","0.0","0",NA,"13.5","0","34.0","","2","","",NA,"3.6","100.4","1123360"
"JOE RICH CREEK","49.857","-119.126","BC","",,"","",,"",,"0.0","0",NA,"33.5","0","75.0","","3","","",NA,"","","1123750"
"KELOWNA","49.900","-119.467","BC","18.7","0",NA,"33.3","0","4.4","0","0.0","0",NA,"32.0","0",NA,"","4","","",NA,"20.2","43.0","1123930"
"KELOWNA BANKHEAD","49.900","-119.300","BC","20.4","0",NA,"35.6","0","5.6","0","0.0","0",NA,"19.1","0",NA,"","3","","",NA,"10.8","84.3","1123972"
"KEREMEOS","49.200","-119.817","BC","22.7","0",NA,"36.1","0","7.2","0","0.0","0",NA,"18.3","0",NA,"","4","","",NA,"3.8","148.4","1124110"
"KEREMEOS 2","49.210","-119.821","BC","",,"","",,"",,"0.0","0",NA,"8.1","0","33.0","","2","","",NA,"","","1124112"
"KIRTON","49.667","-119.950","BC","",,NA,"",,"",,"0.0","0",NA,"12.6","0",NA,"","3","","",NA,"","","1124260"
"MAMIT LAKE","50.383","-120.800","BC","",,NA,"",,"",,"0.0","0",NA,"13.0","0",NA,"","2","","",NA,"","","1124860"
"MCCULLOCH","49.800","-119.200","BC","",,NA,"",,"",,"0.0","0",NA,"21.4","0",NA,"","2","","",NA,"","","1124980"
"MERRITT","50.117","-120.800","BC","17.9","0",NA,"31.1","0","1.7","0","0.0","0",NA,"2.5","0",NA,"","1","","",NA,"30.5","26.2","1125070"
"NARAMATA","49.617","-119.600","BC","18.8","0",NA,"28.9","0","7.2","0","0.0","0",NA,"15.0","0",NA,"","2","","",NA,"16.4","41.5","1125380"
"OKANAGAN CENTRE","50.056","-119.462","BC","21.1","0","0.7","32.2","0","8.3","0","0.0","0",NA,"24.6","0","76.0","","3","","",NA,"6.1","101.6","1125700"
"OLIVER STP","49.179","-119.545","BC","21.9","0","0.1","36.7","0","3.3","0","0.0","0",NA,"4.6","0","22.0","","1","","",NA,"5.1","124.5","1125766"
"OSPREY LAKE","49.700","-120.183","BC","",,NA,"",,"",,"0.0","0",NA,"9.1","0",NA,"","3","","",NA,"","","1125880"
"PEACHLAND TREPANIER CR","49.783","-119.833","BC","",,NA,"",,"",,"0.0","0",NA,"46.1","0",NA,"","6","","",NA,"","","1126080"
"PENTICTON","49.483","-119.583","BC","19.8","0",NA,"35.0","0","5.6","0","0.0","0",NA,"11.0","0",NA,"","1","","",NA,"9.1","65.4","1126145"
"PRINCETON","49.433","-120.500","BC","17.2","0",NA,"32.8","0","0.6","0","0.0","0",NA,"8.4","0",NA,"","4","","",NA,"42.3","17.2","1126505"
"RUTLAND MISSION CREEK","49.967","-119.450","BC","",,NA,"",,"",,"0.0","0",NA,"29.8","0",NA,"","3","","",NA,"","","1126915"
"SUMMERLAND CDA","49.567","-119.650","BC","21.8","0",NA,"35.0","0","7.8","0","0.0","0",NA,"16.3","0",NA,"","2","","",NA,"4.6","122.0","1127800"
"VERNON","50.250","-119.267","BC","20.2","0",NA,"33.9","0","5.6","0","0.0","0",NA,"38.1","0",NA,"","4","","",NA,"13.8","81.4","1128550"
"VERNON COLDSTREAM RANCH","50.217","-119.200","BC","19.2","0","0.4","32.8","0","5.6","0","0.0","0",NA,"43.2","0","102.0","","4","","",NA,"17.9","55.4","1128580"
"WOODS LAKE","50.050","-119.450","BC","20.1","0",NA,"37.2","0","5.0","0","0.0","0",NA,"28.8","0",NA,"","4","","",NA,"11.2","75.6","1128983"
"BEAVERDELL","49.423","-119.105","BC","",,NA,"",,"",,"0.0","0",NA,"3.1","0",NA,"","1","","",NA,"","","1130770"
"GRAND FORKS RAYFIELD","49.017","-118.467","BC","20.9","0",NA,"37.2","0","3.3","0","0.0","0",NA,"5.6","0",NA,"","1","","",NA,"7.9","97.2","1133275"
"GREENWOOD","49.100","-118.683","BC","20.8","0",NA,"40.0","0","0.0","0","0.0","0",NA,"1.1","0",NA,"","0","","",NA,"7.1","92.6","1133300"
"LYNCH CREEK","49.250","-118.433","BC","",,NA,"",,"",,"0.0","0",NA,"0.8","0",NA,"","0","","",NA,"","","1134735"
"ROCK CREEK","49.067","-119.017","BC","19.8","0",NA,"37.2","0","0.6","0","0.0","0",NA,"12.7","0",NA,"","1","","",NA,"12.9","67.9","1136812"
"BIRCHBANK","49.167","-117.717","BC","",,NA,"",,"",,"0.0","0",NA,"16.5","0",NA,"","2","","",NA,"","","1140877"
"BONNINGTON FALLS","49.450","-117.483","BC","",,NA,"",,"",,"0.0","0",NA,"6.4","0",NA,"","3","","",NA,"","","1140903"
"BOSWELL","49.483","-116.750","BC","19.4","0",NA,"30.6","0","6.1","0","0.0","0",NA,"2.4","0",NA,"","1","","",NA,"15.7","58.3","1140905"
"CRAWFORD BAY","49.683","-116.833","BC","17.8","0",NA,"27.8","0","6.1","0","0.0","0",NA,"9.9","0",NA,"","3","","",NA,"27.1","19.4","1142112"
"CRESTON","49.097","-116.518","BC","18.5","0","-1.1","33.9","0","2.8","0","0.0","0",NA,"12.5","0","40.0","","1","","",NA,"24.5","40.3","1142160"
"DEER PARK","49.417","-118.050","BC","",,NA,"",,"",,"0.0","0",NA,"3.8","0",NA,"","2","","",NA,"","","1142400"
"FAUQUIER","49.872","-118.068","BC","16.9","0","-1.3","36.7","0","2.8","0","0.0","0",NA,"11.7","0","25.0","","3","","",NA,"50.3","15.6","1142820"
