"Environment and Climate Change Canada"
"Monthly Values for November - 1932"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BEAR CREEK","48.500","-124.000","BC","",,NA,"",,"",,"2.0","0",NA,"763.2","0",NA,"","26","","",NA,"","","1010720"
"BEAVER LAKE","48.500","-123.350","BC","",,NA,"",,"",,"0.0","0",NA,"176.7","0",NA,"","19","","",NA,"","","1010774"
"CHEMAINUS","48.935","-123.742","BC","",,NA,"",,"",,"0.0","0",NA,"248.6","0",NA,"","19","","",NA,"","","1011500"
"COLE BAY","48.650","-123.400","BC","",,NA,"",,"",,"0.0","0",NA,"200.8","0",NA,"","19","","",NA,"","","1011775"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","6.7","0",NA,"13.9","0","0.6","0","0.0","0",NA,"198.3","0",NA,"","18","","",NA,"338.5","0.0","1012010"
"COWICHAN LAKE HATCHERY","48.833","-124.117","BC","",,NA,"",,"",,"0.0","0",NA,"410.4","0",NA,"","25","","",NA,"","","1012046"
"CROFTON","48.817","-123.667","BC","",,NA,"",,"",,"0.0","0",NA,"225.2","0",NA,"","21","","",NA,"","","1012190"
"DUNCAN","48.783","-123.717","BC","7.2","0",NA,"18.3","0","-2.8","0","0.0","0",NA,"95.7","0",NA,"","17","","",NA,"323.6","0.0","1012550"
"ESQUIMALT","48.433","-123.417","BC","",,NA,"",,"",,"0.0","0",NA,"227.0","0",NA,"","22","","",NA,"","","1012700"
"GOLDSTREAM LAKE","48.450","-123.550","BC","",,NA,"",,"",,"1.3","0",NA,"329.5","0",NA,"","23","","",NA,"","","1013240"
"JAMES ISLAND","48.600","-123.350","BC","8.3","0",NA,"16.7","0","1.1","0","0.0","0",NA,"174.2","0",NA,"","19","","",NA,"289.6","0.0","1013720"
"LAKE COWICHAN","48.817","-124.050","BC","6.8","0",NA,"13.3","0","-1.1","0","0.0","0",NA,"415.1","0",NA,"","28","","",NA,"334.9","0.0","1014493"
"MALAHAT","48.575","-123.530","BC","",,NA,"",,"",,"0.0","0",NA,"211.3","0",NA,"","16","","",NA,"","","1014820"
"MAYNE ISLAND","48.850","-123.333","BC","",,NA,"",,"",,"0.0","0",NA,"80.5","0",NA,"","17","","",NA,"","","1014930"
"METCHOSIN","48.374","-123.561","BC","8.1","0",NA,"14.4","0","3.3","0","",,NA,"",,NA,"","","","",NA,"297.6","0.0","1015105"
"MILLSTREAM","48.483","-123.550","BC","",,NA,"",,"",,"0.0","0",NA,"198.6","0",NA,"","15","","",NA,"","","1015150"
